category,source,title,url,date,summary,amount_usd,vuln_type,keyword_matched,extra,scraped_at
vulnerability_registry,SWC Registry,SWC-100: Function Default Visibility,https://swcregistry.io/docs/SWC-100,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,access_control,general,"{""swc_id"": ""SWC-100"", ""standard"": ""SWC""}",2026-03-06 15:12:11
vulnerability_registry,SWC Registry,SWC-101: Integer Overflow and Underflow,https://swcregistry.io/docs/SWC-101,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,integer_overflow,integer overflow,"{""swc_id"": ""SWC-101"", ""standard"": ""SWC""}",2026-03-06 15:12:13
vulnerability_registry,SWC Registry,SWC-102: Outdated Compiler Version,https://swcregistry.io/docs/SWC-102,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,configuration,general,"{""swc_id"": ""SWC-102"", ""standard"": ""SWC""}",2026-03-06 15:12:15
vulnerability_registry,SWC Registry,SWC-103: Floating Pragma,https://swcregistry.io/docs/SWC-103,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,configuration,general,"{""swc_id"": ""SWC-103"", ""standard"": ""SWC""}",2026-03-06 15:12:16
vulnerability_registry,SWC Registry,SWC-104: Unchecked Call Return Value,https://swcregistry.io/docs/SWC-104,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,logic_error,general,"{""swc_id"": ""SWC-104"", ""standard"": ""SWC""}",2026-03-06 15:12:18
vulnerability_registry,SWC Registry,SWC-105: Unprotected Ether Withdrawal,https://swcregistry.io/docs/SWC-105,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,access_control,general,"{""swc_id"": ""SWC-105"", ""standard"": ""SWC""}",2026-03-06 15:12:20
vulnerability_registry,SWC Registry,SWC-106: Unprotected SELFDESTRUCT Instruction,https://swcregistry.io/docs/SWC-106,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,access_control,general,"{""swc_id"": ""SWC-106"", ""standard"": ""SWC""}",2026-03-06 15:12:22
vulnerability_registry,SWC Registry,SWC-107: Reentrancy,https://swcregistry.io/docs/SWC-107,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,reentrancy,reentrancy,"{""swc_id"": ""SWC-107"", ""standard"": ""SWC""}",2026-03-06 15:12:23
vulnerability_registry,SWC Registry,SWC-108: State Variable Default Visibility,https://swcregistry.io/docs/SWC-108,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,access_control,general,"{""swc_id"": ""SWC-108"", ""standard"": ""SWC""}",2026-03-06 15:12:25
vulnerability_registry,SWC Registry,SWC-109: Uninitialized Storage Pointer,https://swcregistry.io/docs/SWC-109,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,logic_error,general,"{""swc_id"": ""SWC-109"", ""standard"": ""SWC""}",2026-03-06 15:12:27
vulnerability_registry,SWC Registry,SWC-110: Assert Violation,https://swcregistry.io/docs/SWC-110,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,logic_error,general,"{""swc_id"": ""SWC-110"", ""standard"": ""SWC""}",2026-03-06 15:12:29
vulnerability_registry,SWC Registry,SWC-111: Use of Deprecated Solidity Functions,https://swcregistry.io/docs/SWC-111,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,configuration,solidity,"{""swc_id"": ""SWC-111"", ""standard"": ""SWC""}",2026-03-06 15:12:31
vulnerability_registry,SWC Registry,SWC-112: Delegatecall to Untrusted Callee,https://swcregistry.io/docs/SWC-112,2023-01-01,The content of the SWC registry has not been thoroughly updated since 2020. It is known to be incomplete and may contain errors as well as crucial omissions.,N/A,access_control,general,"{""swc_id"": ""SWC-112"", ""standard"": ""SWC""}",2026-03-06 15:12:33
