category,source,title,url,date,summary,amount_usd,vuln_type,keyword_matched,extra,scraped_at
research,ArXiv,Trans-Neptunian Binary Mutual Events in the 2020s and 2030s,http://arxiv.org/abs/2603.05394v1,2026-03-05,"Mutual events of trans-Neptunian binaries (TNBs) provide rare opportunities to measure the physical and orbital properties of small bodies in the outer solar system. However, successful observations of these events have been limited by uncertain predictions. Here, we present probabilistic predictions of TNB mutual events occurring through the 2030s, using high-precision non-Keplerian orbit solutio...",N/A,unknown,exploit,"{""authors"": ""Benjamin Proudfoot, Will Grundy, Darin Ragozzine"", ""query"": ""smart contract vulnerability detection""}",2026-03-06 15:09:39
research,ArXiv,Fusion4CA: Boosting 3D Object Detection via Comprehensive Image Exploitation,http://arxiv.org/abs/2603.05305v1,2026-03-05,"Nowadays, an increasing number of works fuse LiDAR and RGB data in the bird's-eye view (BEV) space for 3D object detection in autonomous driving systems. However, existing methods suffer from over-reliance on the LiDAR branch, with insufficient exploration of RGB information. To tackle this issue, we propose Fusion4CA, which is built upon the classic BEVFusion framework and dedicated to fully expl...",N/A,unknown,exploit,"{""authors"": ""Kang Luo, Xin Chen, Yangyi Xiao"", ""query"": ""smart contract vulnerability detection""}",2026-03-06 15:09:39
research,ArXiv,Improved Decoding of Quantum Tanner Codes Using Generalized Check Nodes,http://arxiv.org/abs/2603.05486v1,2026-03-05,We study the decoding problem for quantum Tanner codes and propose to exploit the underlying local code structure by grouping check nodes into more powerful generalized check nodes for enhanced iterative belief propagation (BP) decoding by decoding the generalized checks using a maximum a posteriori (MAP) decoder as part of the check node processing of each decoding iteration. We mainly study the ...,N/A,unknown,exploit,"{""authors"": ""Olai \u00c5. Mostad, Eirik Rosnes, Hsuan-Yin Lin"", ""query"": ""smart contract security analysis""}",2026-03-06 15:09:42
research,ArXiv,2D capillary liquid drops with constant vorticity: rotating waves existence and a conditional energetic stability result for rotating circles,http://arxiv.org/abs/2603.05458v1,2026-03-05,"We consider a two-dimensional, pure capillary drop of nearly-circular shape, having constant vorticity. We write the Craig-Sulem equations on the unit circle, then on the flat torus. We show their Hamiltonian structure and we then observe symmetries and we derive constants of motions. After showing linear stability for rotating circles, we prove the existence of rotating waves by combining a bifur...",N/A,unknown,exploit,"{""authors"": ""Giuseppe La Scala"", ""query"": ""smart contract security analysis""}",2026-03-06 15:09:42
research,ArXiv,Towards a data-scale independent regulariser for robust sparse identification of non-linear dynamics,http://arxiv.org/abs/2603.05201v1,2026-03-05,"Data normalisation, a common and often necessary preprocessing step in engineering and scientific applications, can severely distort the discovery of governing equations by magnitudebased sparse regression methods. This issue is particularly acute for the Sparse Identification of Nonlinear Dynamics (SINDy) framework, where the core assumption of sparsity is undermined by the interaction between da...",N/A,unknown,vulnerability,"{""authors"": ""Jay Raut, Daniel N. Wilke, Stephan Schmidt"", ""query"": ""solidity vulnerability GNN""}",2026-03-06 15:09:45
research,ArXiv,ThaiSafetyBench: Assessing Language Model Safety in Thai Cultural Contexts,http://arxiv.org/abs/2603.04992v1,2026-03-05,"The safety evaluation of large language models (LLMs) remains largely centered on English, leaving non-English languages and culturally grounded risks underexplored. In this work, we investigate LLM safety in the context of the Thai language and culture and introduce ThaiSafetyBench, an open-source benchmark comprising 1,954 malicious prompts written in Thai. The dataset covers both general harmfu...",N/A,unknown,vulnerability,"{""authors"": ""Trapoom Ukarapol, Nut Chukamphaeng, Kunat Pipatanakul"", ""query"": ""solidity vulnerability GNN""}",2026-03-06 15:09:45
research,ArXiv,TimeWarp: Evaluating Web Agents by Revisiting the Past,http://arxiv.org/abs/2603.04949v1,2026-03-05,"The improvement of web agents on current benchmarks raises the question: Do today's agents perform just as well when the web changes? We introduce TimeWarp, a benchmark that emulates the evolving web using containerized environments that vary in UI, design, and layout. TimeWarp consists of three web environments, each with six UI versions spanning different eras of the internet, paired with a set ...",N/A,unknown,vulnerability,"{""authors"": ""Md Farhan Ishmam, Kenneth Marino"", ""query"": ""solidity vulnerability GNN""}",2026-03-06 15:09:45
research,ArXiv,EVMbench: Evaluating AI Agents on Smart Contract Security,http://arxiv.org/abs/2603.04915v1,2026-03-05,"Smart contracts on public blockchains now manage large amounts of value, and vulnerabilities in these systems can lead to substantial losses. As AI agents become more capable at reading, writing, and running code, it is natural to ask how well they can already navigate this landscape, both in ways that improve security and in ways that might increase risk. We introduce EVMbench, an evaluation that...",N/A,unknown,smart contract,"{""authors"": ""Justin Wang, Andreas Bigger, Xiaohai Xu"", ""query"": ""solidity vulnerability GNN""}",2026-03-06 15:09:45
research,ArXiv,Beyond the Patch: Exploring Vulnerabilities of Visuomotor Policies via Viewpoint-Consistent 3D Adversarial Object,http://arxiv.org/abs/2603.04913v1,2026-03-05,"Neural network-based visuomotor policies enable robots to perform manipulation tasks but remain susceptible to perceptual attacks. For example, conventional 2D adversarial patches are effective under fixed-camera setups, where appearance is relatively consistent; however, their efficacy often diminishes under dynamic viewpoints from moving cameras, such as wrist-mounted setups, due to perspective ...",N/A,unknown,exploit,"{""authors"": ""Chanmi Lee, Minsung Yoon, Woojae Kim"", ""query"": ""solidity vulnerability GNN""}",2026-03-06 15:09:45
research,ArXiv,Differential Privacy in Two-Layer Networks: How DP-SGD Harms Fairness and Robustness,http://arxiv.org/abs/2603.04881v1,2026-03-05,"Differentially private learning is essential for training models on sensitive data, but empirical studies consistently show that it can degrade performance, introduce fairness issues like disparate impact, and reduce adversarial robustness. The theoretical underpinnings of these phenomena in modern, non-convex neural networks remain largely unexplored. This paper introduces a unified feature-centr...",N/A,unknown,vulnerability,"{""authors"": ""Ruichen Xu, Kexin Chen"", ""query"": ""solidity vulnerability GNN""}",2026-03-06 15:09:45
